release,distributor,seasons,adjusted_gross
Sky High,Walt Disney Studios Motion Pictures,summer,100396499
Skyfall,Sony Pictures Entertainment (SPE),holiday season,383993637
Skyscraper,Universal Pictures,summer,82788345
Sleepers,Warner Bros.,fall,103431652
Sleeping Beauty1986 Re-release,Walt Disney Studios Motion Pictures,spring,39605335
Sleeping with the Enemy,Twentieth Century Fox,winter,208945181
Sleepless in Seattle,TriStar Pictures,summer,266029856
Sleepwalkers,Columbia Pictures,spring,66238735
Sleepy Hollow,Paramount Pictures,holiday season,166742978
Slender Man,Screen Gems,summer,36989075
Sling Blade,Miramax,holiday season,45886056
Sliver,Paramount Pictures,summer,76230000
Slumdog Millionaire,-,holiday season,169111443
Small Soldiers,DreamWorks Distribution,summer,101162711
Smallfoot,Warner Bros.,fall,100401711
Smile,Paramount Pictures,fall,112291150
Smokey and the Bandit II,Universal Pictures,summer,254610610
Smokin' Aces,Universal Pictures,winter,52965775
Smurfs: The Lost Village,Sony Pictures Entertainment (SPE),spring,55374946
Snake Eyes,Paramount Pictures,summer,135065436
Snakes on a Plane,New Line Cinema,summer,51371318
Snatch,Screen Gems,holiday season,51796744
Snatched,Twentieth Century Fox,summer,56398178
Sneakers,Universal Pictures,fall,111608939
Sniper,TriStar Pictures,winter,39888771
Snitch,Lionsgate,winter,55809600
Snow Day,Paramount Pictures,winter,106235589
Snow Dogs,Walt Disney Studios Motion Pictures,winter,137181626
Snow White and the Huntsman,Universal Pictures,summer,205038742
Snow White and the Seven Dwarfs1983 Re-release,Walt Disney Studios Motion Pictures,summer,92106000
Snow White and the Seven Dwarfs1987 Re-release,Walt Disney Studios Motion Pictures,summer,125338430
Snow White and the Seven Dwarfs1993 Re-release,Walt Disney Studios Motion Pictures,summer,87432389
Soapdish,Paramount Pictures,summer,81007551
Solo: A Star Wars Story,Walt Disney Studios Motion Pictures,summer,258658689
Some Kind of Hero,Paramount Pictures,spring,75037659
Some Kind of Wonderful,Paramount Pictures,winter,49910120
Someone Like You,Twentieth Century Fox,spring,46756644
Someone to Watch Over Me,Columbia Pictures,fall,27649296
Something Borrowed,Warner Bros.,summer,53103225
Something Wicked This Way Comes,Walt Disney Studios Motion Pictures,spring,25704000
Something Wild,Orion Pictures,holiday season,22830905
Something to Talk About,Warner Bros.,summer,101222522
Something's Gotta Give,Sony Pictures Entertainment (SPE),holiday season,204017478
Somewhere in Time,Universal Pictures,fall,37381948
Sommersby,Warner Bros.,winter,105172183
Son in Law,Walt Disney Studios Motion Pictures,summer,76541640
Son of God,Twentieth Century Fox,winter,76416081
Song of the South1986 Re-release,Walt Disney Studios Motion Pictures,holiday season,48210014
Sonic the Hedgehog,Paramount Pictures,winter,169437105
Sonic the Hedgehog 2,Paramount Pictures,spring,202325278
Sooryavanshi,Reliance Entertainment,holiday season,4044464
Sophie's Choice,Universal Pictures,holiday season,82947465
Soul Food,Twentieth Century Fox,fall,82157607
Soul Man,New World Pictures,fall,75948600
Soul Surfer,TriStar Pictures,spring,59640656
Source Code,Summit Entertainment,spring,74408628
"South Park: Bigger, Longer & Uncut",Paramount Pictures,summer,94708437
Southpaw,The Weinstein Company,summer,67100099
Space Chimps,Twentieth Century Fox,summer,42750474
Space Cowboys,Warner Bros.,summer,159489751
Space Jam,Warner Bros.,holiday season,160697639
Space Jam: A New Legacy,Warner Bros.,summer,77017469
Space Station 3D,IMAX,spring,50914131
SpaceCamp,Twentieth Century Fox,summer,26474827
Spaceballs,Metro-Goldwyn-Mayer (MGM),summer,102541409
Spaced Invaders,Walt Disney Studios Motion Pictures,spring,36118496
Spacehunter: Adventures in the Forbidden Zone,Columbia Pictures,summer,50423490
Spanglish,Sony Pictures Entertainment (SPE),holiday season,42908327
Spawn,New Line Cinema,summer,103155929
Species,Metro-Goldwyn-Mayer (MGM),summer,119547464
Species II,Metro-Goldwyn-Mayer (MGM),spring,35560587
Spectre,Sony Pictures Entertainment (SPE),holiday season,252291308
Speed,Twentieth Century Fox,summer,242574462
Speed 2: Cruise Control,Twentieth Century Fox,summer,91383164
Speed Racer,Warner Bros.,summer,62402987
Spencer,Neon,holiday season,8078760
Sphere,Warner Bros.,winter,68487512
Sphinx,Warner Bros.,winter,6958332
Spice World,Sony Pictures Entertainment (SPE),winter,54283795
Spider-Man,Sony Pictures Entertainment (SPE),spring,682263773
Spider-Man 2,Sony Pictures Entertainment (SPE),summer,605209036
Spider-Man 3,Sony Pictures Entertainment (SPE),spring,498064848
Spider-Man: Far from Home,Sony Pictures Entertainment (SPE),summer,464733181
Spider-Man: Homecoming,Sony Pictures Entertainment (SPE),summer,411067402
Spider-Man: Into the Spider-Verse,Sony Pictures Entertainment (SPE),holiday season,228550087
Spider-Man: No Way Home,Sony Pictures Entertainment (SPE),holiday season,898919866
Spider-Man: No Way Home2022 Re-release,Sony Pictures Entertainment (SPE),summer,9880888
Spies Like Us,Warner Bros.,holiday season,167925068
Spies in Disguise,Twentieth Century Fox,holiday season,78317845
Spiral,Lionsgate,summer,26467222
Spirit Untamed,Universal Pictures,summer,20104145
Spirit: Stallion of the Cimarron,DreamWorks Distribution,summer,123843397
Splash,Walt Disney Studios Motion Pictures,spring,205274721
Split,Universal Pictures,winter,170098378
Spotlight,Open Road Films (II),holiday season,33182565
Spring Break,Columbia Pictures,spring,73659297
Spy,Twentieth Century Fox,summer,141856911
Spy Game,Universal Pictures,holiday season,104036485
Spy Hard,Walt Disney Studios Motion Pictures,summer,52302770
Spy Kids,Miramax,spring,192749491
Spy Kids 2: Island of Lost Dreams,Dimension Films,summer,144370330
Spy Kids 3: Game Over,Dimension Films,summer,184202304
Spy Kids 4: All the Time in the World,-,summer,52411935
St. Elmo's Fire,Columbia Pictures,summer,90826738
St. Vincent,The Weinstein Company,fall,54841954
Stakeout,Walt Disney Studios Motion Pictures,summer,176660996
Stand and Deliver,Warner Bros.,spring,36246842
Stand by Me,Columbia Pictures,summer,142744640
Star Trek,Paramount Pictures,summer,365976626
Star Trek Beyond,Paramount Pictures,summer,200148908
Star Trek II: The Wrath of Khan,Paramount Pictures,summer,250154092
Star Trek III: The Search for Spock,Paramount Pictures,summer,224824875
Star Trek IV: The Voyage Home,Paramount Pictures,holiday season,298037999
Star Trek Into Darkness,Paramount Pictures,summer,297412259
Star Trek V: The Final Frontier,Paramount Pictures,summer,128958821
Star Trek VI: The Undiscovered Country,Paramount Pictures,holiday season,165127336
Star Trek: First Contact,Paramount Pictures,holiday season,166824445
Star Trek: Generations,Paramount Pictures,holiday season,143731570
Star Trek: Insurrection,Paramount Pictures,holiday season,99706458
Star Trek: Nemesis,Paramount Pictures,holiday season,59985454
Star Wars: Episode I - The Phantom Menace,Twentieth Century Fox,summer,783113108
Star Wars: Episode I - The Phantom Menace2012 3D Release,Twentieth Century Fox,winter,57362424
Star Wars: Episode II - Attack of the Clones,Twentieth Century Fox,summer,510703215
Star Wars: Episode III - Revenge of the Sith,Twentieth Century Fox,summer,597024805
Star Wars: Episode IV - A New Hope1982 Re-release,Twentieth Century Fox,summer,48011605
Star Wars: Episode IV - A New Hope1997 Special Edition,Twentieth Century Fox,winter,258858641
Star Wars: Episode IX - The Rise of Skywalker,Walt Disney Studios Motion Pictures,holiday season,609356135
Star Wars: Episode V - The Empire Strikes Back,Twentieth Century Fox,summer,782934567
Star Wars: Episode V - The Empire Strikes Back1982 Re-release,Twentieth Century Fox,holiday season,42085683
Star Wars: Episode V - The Empire Strikes Back1997 Special Edition,Twentieth Century Fox,winter,125271700
Star Wars: Episode V - The Empire Strikes Back2020 Re-release,Walt Disney Studios Motion Pictures,summer,2879120
Star Wars: Episode VI - Return of the Jedi,Twentieth Century Fox,summer,756956000
Star Wars: Episode VI - Return of the Jedi1985 Re-release,Twentieth Century Fox,spring,31956029
Star Wars: Episode VI - Return of the Jedi1997 Special Edition,Twentieth Century Fox,spring,82955913
Star Wars: Episode VII - The Force Awakens,Walt Disney Studios Motion Pictures,holiday season,1193233748
Star Wars: Episode VIII - The Last Jedi,Walt Disney Studios Motion Pictures,holiday season,760763838
Star Wars: The Clone Wars,Warner Bros.,summer,49929406
Stardust,Paramount Pictures,summer,57179708
Stardust Memories,United Artists,fall,39997661
Stargate,Metro-Goldwyn-Mayer (MGM),fall,146712887
Starman,Columbia Pictures,holiday season,82886628
Starship Troopers,Sony Pictures Entertainment (SPE),holiday season,103051028
Starsky & Hutch,Warner Bros.,spring,142945161
State of Play,Universal Pictures,spring,52565496
Stay Tuned,Warner Bros.,summer,23297990
Staying Alive,Paramount Pictures,summer,198571570
Stealth,Sony Pictures Entertainment (SPE),summer,50423291
Steel Magnolias,TriStar Pictures,holiday season,201851942
Stella,Walt Disney Studios Motion Pictures,winter,47564300
Step Brothers,Sony Pictures Entertainment (SPE),summer,142665686
Step Up,Walt Disney Studios Motion Pictures,summer,98642826
Step Up 2: The Streets,Walt Disney Studios Motion Pictures,winter,82384042
Step Up 3D,Walt Disney Studios Motion Pictures,summer,58512307
Step Up Revolution,Lionsgate,summer,46298573
Stepmom,Sony Pictures Entertainment (SPE),holiday season,166933612
Stigmata,Metro-Goldwyn-Mayer (MGM),fall,91084207
Still Smokin,Paramount Pictures,summer,47563752
Stillwater,Focus Features,summer,16490709
Stir Crazy,Columbia Pictures,holiday season,390005000
Stir of Echoes,Artisan Entertainment,fall,38480103
Stomp the Yard,Screen Gems,winter,90807207
Stop! Or My Mom Will Shoot,Universal Pictures,winter,61652325
Storks,Warner Bros.,fall,91242711
Straight Outta Compton,Universal Pictures,summer,206333164
Straight Talk,Walt Disney Studios Motion Pictures,spring,46008554
Strange Brew,Metro-Goldwyn-Mayer (MGM),summer,26228404
Strange World,Walt Disney Studios Motion Pictures,holiday season,39059859
Stranger Than Fiction,Sony Pictures Entertainment (SPE),holiday season,61057136
Street Fighter,Universal Pictures,holiday season,67572553
Streets of Fire,Universal Pictures,summer,23782512
Striking Distance,Columbia Pictures,fall,50626520
Stripes,Columbia Pictures,summer,293421680
Striptease,Sony Pictures Entertainment (SPE),summer,64232901
Stroker Ace,Universal Pictures,summer,39780000
Stuart Little,Sony Pictures Entertainment (SPE),holiday season,253228107
Stuart Little 2,Sony Pictures Entertainment (SPE),summer,109652533
Stuber,Twentieth Century Fox,summer,26620837
Student Bodies,Paramount Pictures,summer,17769086
Sucker Punch,Warner Bros.,spring,49493802
Sudden Impact,Warner Bros.,holiday season,203291557
Sugar Hill,Twentieth Century Fox,winter,37362311
Suicide Squad,Warner Bros.,summer,409626068
Sully,Warner Bros.,fall,157470182
Summer Rental,Paramount Pictures,summer,70118756
Summer School,Paramount Pictures,summer,95922973
Summer of Sam,Walt Disney Studios Motion Pictures,summer,38815372
Super 8,Paramount Pictures,summer,172725683
Super Mario Bros.,Walt Disney Studios Motion Pictures,summer,43922476
Super Troopers 2,Twentieth Century Fox,spring,37047049
Superbad,Sony Pictures Entertainment (SPE),summer,179765574
Supergirl,TriStar Pictures,holiday season,39378289
Superman II,Warner Bros.,summer,372158828
Superman III,Warner Bros.,summer,183448906
Superman IV: The Quest for Peace,Warner Bros.,summer,42181943
Superman Returns,Warner Bros.,summer,302122599
Superstar,Paramount Pictures,fall,54710355
Surf's Up,Sony Pictures Entertainment (SPE),summer,87124187
Surrogates,Walt Disney Studios Motion Pictures,fall,54780436
Suspect,TriStar Pictures,fall,46865481
Sweeney Todd: The Demon Barber of Fleet Street,DreamWorks,holiday season,41861203
Sweet Dreams,TriStar Pictures,fall,25801539
Sweet Home Alabama,Walt Disney Studios Motion Pictures,fall,211524401
Sweet Liberty,Universal Pictures,summer,38779707
Sweet November,Warner Bros.,winter,43242656
Swimfan,Twentieth Century Fox,fall,48274841
Switch,Warner Bros.,summer,34511993
Switching Channels,TriStar Pictures,spring,23646697
Swordfish,Warner Bros.,summer,119311776
Syriana,Warner Bros.,holiday season,56752137
T-Rex: Back to the Cretaceous,IMAX,fall,44697622
TMNT,Warner Bros.,spring,80140665
TRON: Legacy,Walt Disney Studios Motion Pictures,holiday season,236356144
Tag,Warner Bros.,summer,66224056
Take the Lead,New Line Cinema,spring,52460012
Taken,Twentieth Century Fox,winter,205901404
Taken 2,Twentieth Century Fox,fall,183396020
Taken 3,Twentieth Century Fox,winter,114248222
Takers,Screen Gems,summer,79687713
Taking Care of Business,Walt Disney Studios Motion Pictures,summer,47012772
Taking Lives,Warner Bros.,spring,52945394
Tales from the Crypt: Demon Knight,Universal Pictures,winter,41967400
Tales from the Darkside: The Movie,Paramount Pictures,spring,38362746
Talladega Nights: The Ballad of Ricky Bobby,Sony Pictures Entertainment (SPE),summer,223802199
Tammy,Warner Bros.,summer,108192552
Tangled,Walt Disney Studios Motion Pictures,holiday season,276343520
Tango & Cash,Warner Bros.,holiday season,151107175
Tank,Universal Pictures,spring,33230478
Tap,TriStar Pictures,winter,22513313
Taps,Twentieth Century Fox,holiday season,114582033
Target,Warner Bros.,holiday season,25625885
Tarzan,Walt Disney Studios Motion Pictures,summer,310979359
Taxi2004 Re-release,Twentieth Century Fox,fall,58824746
Teachers,Metro-Goldwyn-Mayer (MGM),fall,81656256
Team America: World Police,Paramount Pictures,fall,53033198
Tears of the Sun,Revolution Studios,spring,72162571
Ted,Universal Pictures,summer,288836442
Ted 2,Universal Pictures,summer,104289772
Teen Titans GO! To the Movies,Warner Bros.,summer,36046185
Teen Wolf,Atlantic Releasing Corporation,summer,93965975
Teenage Mutant Ninja Turtles,New Line Cinema,spring,317874900
Teenage Mutant Ninja Turtles,Paramount Pictures,summer,244742085
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,New Line Cinema,spring,174618124
Teenage Mutant Ninja Turtles III,New Line Cinema,spring,88774578
Teenage Mutant Ninja Turtles: Out of the Shadows,Paramount Pictures,summer,103385017
Tempest,Columbia Pictures,summer,15866626
Temptation: Confessions of a Marriage Counselor,Lionsgate,spring,67567960
Tender Mercies,Universal Pictures,spring,25835959
Tenet,Warner Bros.,summer,66392819
Tequila Sunrise,Warner Bros.,holiday season,105066177
Terminal Velocity,Walt Disney Studios Motion Pictures,fall,33799065
Terminator 2: Judgment Day,TriStar Pictures,summer,454752225
Terminator 3: Rise of the Machines,Warner Bros.,summer,248112334
Terminator Genisys,Paramount Pictures,summer,114894023
Terminator Salvation,Warner Bros.,summer,177957905
Terminator: Dark Fate,Paramount Pictures,fall,74081161
Terms of Endearment,Paramount Pictures,holiday season,322845430
Terrifier 2,Cinedigm Entertainment Group,fall,11278511
Terror in the Aisles,Universal Pictures,fall,29414161
Texas Chainsaw,Lionsgate,holiday season,44644528
That Darn Cat,Walt Disney Studios Motion Pictures,winter,34407026
That Old Feeling,Universal Pictures,spring,31159450
That Thing You Do!,Twentieth Century Fox,fall,50163387
That's My Boy,Sony Pictures Entertainment (SPE),summer,48749037
The 'Burbs,Universal Pictures,winter,90406922
The 13th Warrior,Walt Disney Studios Motion Pictures,summer,59511996
The 15:17 to Paris,Warner Bros.,winter,43894306
The 355,Universal Pictures,winter,15444682
The 40-Year-Old Virgin,Universal Pictures,summer,171835302
The 5th Wave,Sony Pictures Entertainment (SPE),winter,43995151
The 6th Day,Sony Pictures Entertainment (SPE),holiday season,60639068
The A-Team,Twentieth Century Fox,summer,106566496
The Abyss,Twentieth Century Fox,summer,133929105
The Accidental Tourist,Warner Bros.,holiday season,79991330
The Accountant,Warner Bros.,fall,108179436
The Accused,Paramount Pictures,fall,83082843
The Addams Family,Paramount Pictures,holiday season,244450654
The Addams Family,United Artists Releasing,fall,115651110
The Addams Family 2,United Artists Releasing,fall,64397634
The Adjustment Bureau,Universal Pictures,spring,84994077
The Adventures of Baron Munchausen,Columbia Pictures,spring,19965313
The Adventures of Ford Fairlane,Twentieth Century Fox,summer,50321729
The Adventures of Huck Finn,Walt Disney Studios Motion Pictures,spring,50617547
The Adventures of Rocky & Bullwinkle,Universal Pictures,summer,46030301
The Adventures of Sharkboy and Lavagirl 3-D,Dimension Films,summer,61509001
The Adventures of Tintin,Paramount Pictures,holiday season,104175297
